"ID","ageFirstCap","season","k","age"
"B1P5970",1,2007,1,1
"B1P5970",1,2008,2,2
"B1P5970",1,2009,3,2
"B1P5970",1,2010,4,2
"B1P5970",1,2011,5,2
"B1P5970",1,2012,6,2
"B1P5970",1,2013,7,2
"B1P5970",1,2014,8,2
"B1P5970",1,2015,9,2
"B1P5970",1,2016,10,2
"B1P5970",1,2017,11,2
"B1P5970",1,2018,12,2
"B1P5970",1,2019,13,2
"B1P5970",1,2020,14,2
"B1P5971",2,2007,1,2
"B1P5971",2,2008,2,2
"B1P5971",2,2009,3,2
"B1P5971",2,2010,4,2
"B1P5971",2,2011,5,2
"B1P5971",2,2012,6,2
"B1P5971",2,2013,7,2
"B1P5971",2,2014,8,2
"B1P5971",2,2015,9,2
"B1P5971",2,2016,10,2
"B1P5971",2,2017,11,2
"B1P5971",2,2018,12,2
"B1P5971",2,2019,13,2
"B1P5971",2,2020,14,2
"B1P5972",2,2007,1,2
"B1P5972",2,2008,2,2
"B1P5972",2,2009,3,2
"B1P5972",2,2010,4,2
"B1P5972",2,2011,5,2
"B1P5972",2,2012,6,2
"B1P5972",2,2013,7,2
"B1P5972",2,2014,8,2
"B1P5972",2,2015,9,2
"B1P5972",2,2016,10,2
"B1P5972",2,2017,11,2
"B1P5972",2,2018,12,2
"B1P5972",2,2019,13,2
"B1P5972",2,2020,14,2
"B1P5973",2,2007,1,2
"B1P5973",2,2008,2,2
"B1P5973",2,2009,3,2
"B1P5973",2,2010,4,2
"B1P5973",2,2011,5,2
"B1P5973",2,2012,6,2
"B1P5973",2,2013,7,2
"B1P5973",2,2014,8,2
"B1P5973",2,2015,9,2
"B1P5973",2,2016,10,2
"B1P5973",2,2017,11,2
"B1P5973",2,2018,12,2
"B1P5973",2,2019,13,2
"B1P5973",2,2020,14,2
"B1P5974",2,2007,1,2
"B1P5974",2,2008,2,2
"B1P5974",2,2009,3,2
"B1P5974",2,2010,4,2
"B1P5974",2,2011,5,2
"B1P5974",2,2012,6,2
"B1P5974",2,2013,7,2
"B1P5974",2,2014,8,2
"B1P5974",2,2015,9,2
"B1P5974",2,2016,10,2
"B1P5974",2,2017,11,2
"B1P5974",2,2018,12,2
"B1P5974",2,2019,13,2
"B1P5974",2,2020,14,2
"B1P5975",2,2007,1,2
"B1P5975",2,2008,2,2
"B1P5975",2,2009,3,2
"B1P5975",2,2010,4,2
"B1P5975",2,2011,5,2
"B1P5975",2,2012,6,2
"B1P5975",2,2013,7,2
"B1P5975",2,2014,8,2
"B1P5975",2,2015,9,2
"B1P5975",2,2016,10,2
"B1P5975",2,2017,11,2
"B1P5975",2,2018,12,2
"B1P5975",2,2019,13,2
"B1P5975",2,2020,14,2
"B1P5976",1,2007,1,1
"B1P5976",1,2008,2,2
"B1P5976",1,2009,3,2
"B1P5976",1,2010,4,2
"B1P5976",1,2011,5,2
"B1P5976",1,2012,6,2
"B1P5976",1,2013,7,2
"B1P5976",1,2014,8,2
"B1P5976",1,2015,9,2
"B1P5976",1,2016,10,2
"B1P5976",1,2017,11,2
"B1P5976",1,2018,12,2
"B1P5976",1,2019,13,2
"B1P5976",1,2020,14,2
"B1P5977",1,2007,1,1
"B1P5977",1,2008,2,2
"B1P5977",1,2009,3,2
"B1P5977",1,2010,4,2
"B1P5977",1,2011,5,2
"B1P5977",1,2012,6,2
"B1P5977",1,2013,7,2
"B1P5977",1,2014,8,2
"B1P5977",1,2015,9,2
"B1P5977",1,2016,10,2
"B1P5977",1,2017,11,2
"B1P5977",1,2018,12,2
"B1P5977",1,2019,13,2
"B1P5977",1,2020,14,2
"B1P5978",2,2007,1,2
"B1P5978",2,2008,2,2
"B1P5978",2,2009,3,2
"B1P5978",2,2010,4,2
"B1P5978",2,2011,5,2
"B1P5978",2,2012,6,2
"B1P5978",2,2013,7,2
"B1P5978",2,2014,8,2
"B1P5978",2,2015,9,2
"B1P5978",2,2016,10,2
"B1P5978",2,2017,11,2
"B1P5978",2,2018,12,2
"B1P5978",2,2019,13,2
"B1P5978",2,2020,14,2
"B1P5979",1,2007,1,1
"B1P5979",1,2008,2,2
"B1P5979",1,2009,3,2
"B1P5979",1,2010,4,2
"B1P5979",1,2011,5,2
"B1P5979",1,2012,6,2
"B1P5979",1,2013,7,2
"B1P5979",1,2014,8,2
"B1P5979",1,2015,9,2
"B1P5979",1,2016,10,2
"B1P5979",1,2017,11,2
"B1P5979",1,2018,12,2
"B1P5979",1,2019,13,2
"B1P5979",1,2020,14,2
"B1P5980",2,2007,1,2
"B1P5980",2,2008,2,2
"B1P5980",2,2009,3,2
"B1P5980",2,2010,4,2
"B1P5980",2,2011,5,2
"B1P5980",2,2012,6,2
"B1P5980",2,2013,7,2
"B1P5980",2,2014,8,2
"B1P5980",2,2015,9,2
"B1P5980",2,2016,10,2
"B1P5980",2,2017,11,2
"B1P5980",2,2018,12,2
"B1P5980",2,2019,13,2
"B1P5980",2,2020,14,2
"B1P5981",2,2007,1,2
"B1P5981",2,2008,2,2
"B1P5981",2,2009,3,2
"B1P5981",2,2010,4,2
"B1P5981",2,2011,5,2
"B1P5981",2,2012,6,2
"B1P5981",2,2013,7,2
"B1P5981",2,2014,8,2
"B1P5981",2,2015,9,2
"B1P5981",2,2016,10,2
"B1P5981",2,2017,11,2
"B1P5981",2,2018,12,2
"B1P5981",2,2019,13,2
"B1P5981",2,2020,14,2
"B1P5982",1,2007,1,1
"B1P5982",1,2008,2,2
"B1P5982",1,2009,3,2
"B1P5982",1,2010,4,2
"B1P5982",1,2011,5,2
"B1P5982",1,2012,6,2
"B1P5982",1,2013,7,2
"B1P5982",1,2014,8,2
"B1P5982",1,2015,9,2
"B1P5982",1,2016,10,2
"B1P5982",1,2017,11,2
"B1P5982",1,2018,12,2
"B1P5982",1,2019,13,2
"B1P5982",1,2020,14,2
"B1P5983",1,2007,1,1
"B1P5983",1,2008,2,2
"B1P5983",1,2009,3,2
"B1P5983",1,2010,4,2
"B1P5983",1,2011,5,2
"B1P5983",1,2012,6,2
"B1P5983",1,2013,7,2
"B1P5983",1,2014,8,2
"B1P5983",1,2015,9,2
"B1P5983",1,2016,10,2
"B1P5983",1,2017,11,2
"B1P5983",1,2018,12,2
"B1P5983",1,2019,13,2
"B1P5983",1,2020,14,2
"B1P5984",1,2007,1,1
"B1P5984",1,2008,2,2
