"ID","year_","box","clutch","firstEgg","hatchDate","hatched","fledged","fledgeDate","lin","age","IDyear"
"B2V8645",2015,269,9,107,128,8,8,149,100,2,"B2V8645 2015"
"B2V8653",2015,87,9,107,128,9,7,149,100,2,"B2V8653 2015"
"B2V8789",2015,184,10,111,134,9,9,153,110,2,"B2V8789 2015"
"B2V8824",2015,252,8,106,126,8,7,146,87,2,"B2V8824 2015"
"B2V8973",2015,122,6,108,NA,5,1,NA,82,2,"B2V8973 2015"
"B2V8993",2015,28,10,109,129,9,9,152,109,2,"B2V8993 2015"
"B2X3944",2015,40,7,112,137,6,6,156,110,2,"B2X3944 2015"
"B2X4037",2015,71,10,107,128,10,9,148,103,2,"B2X4037 2015"
"B2X4622",2015,176,10,110,134,9,8,154,103,2,"B2X4622 2015"
"B2X4898",2015,142,8,108,134,8,8,153,100,2,"B2X4898 2015"
"B2X4920",2016,84,9,106,133,9,9,NA,96,2,"B2X4920 2016"
"B2X4920",2017,77,8,99,129,3,3,NA,87,2,"B2X4920 2017"
"B2X4920",2018,163,8,113,137,6,3,155,107,2,"B2X4920 2018"
"B2X4927",2015,178,9,107,129,8,8,150,100,2,"B2X4927 2015"
"B2X4953",2015,223,12,110,135,11,10,155,110,2,"B2X4953 2015"
"B2X4953",2016,223,6,109,135,6,5,155,103,2,"B2X4953 2016"
"B2X4953",2017,223,12,99,130,9,8,151,87,2,"B2X4953 2017"
"B2X4960",2015,28,10,109,129,9,9,152,109,2,"B2X4960 2015"
"B2X4962",2015,20,11,109,133,10,10,154,100,2,"B2X4962 2015"
"B2X4962",2016,50,9,107,130,9,8,151,103,2,"B2X4962 2016"
"B2X4962",2017,21,10,99,123,9,6,143,94,2,"B2X4962 2017"
"B2X4962",2018,19,9,109,129,9,8,148,102,2,"B2X4962 2018"
"B2X4991",2015,254,9,111,132,9,9,152,110,2,"B2X4991 2015"
"B2X4991",2016,237,8,112,140,7,7,160,103,2,"B2X4991 2016"
"B2X4991",2017,238,7,103,127,7,7,147,98,2,"B2X4991 2017"
"B2X5000",2015,277,8,109,134,8,8,153,96,2,"B2X5000 2015"
"B2X7042",2015,23,12,107,132,11,11,153,100,2,"B2X7042 2015"
"B2X7079",2015,130,9,110,132,9,8,152,110,2,"B2X7079 2015"
"B2X7085",2015,32,10,111,134,10,9,155,110,2,"B2X7085 2015"
"B2X7152",2015,254,9,111,132,9,9,152,110,2,"B2X7152 2015"
"B2X7152",2016,237,8,112,140,7,7,160,103,2,"B2X7152 2016"
"B2X7195",2015,182,12,108,132,11,9,153,100,2,"B2X7195 2015"
"B2X7304",2016,60,13,102,135,11,10,155,96,2,"B2X7304 2016"
"B2X7401",2015,230,7,109,128,6,5,149,96,2,"B2X7401 2015"
"B2X7401",2016,241,11,102,127,8,7,147,89,2,"B2X7401 2016"
