"year_","box"
2015,6
2015,7
2015,9
2015,10
2015,12
2015,14
2015,18
2015,20
2015,21
2015,22
2015,23
2015,28
2015,30
2015,31
2015,32
2015,34
2015,35
2015,36
2015,40
2015,43
2015,45
2015,47
2015,62
2015,64
2015,67
2015,71
2015,77
2015,78
2015,82
2015,85
2015,87
2015,88
2015,90
2015,98
2015,99
2015,100
2015,101
2015,103
2015,108
2015,110
2015,112
2015,113
2015,116
2015,120
2015,121
2015,122
2015,125
2015,126
2015,130
2015,133
2015,138
2015,141
2015,142
2015,145
2015,148
2015,149
2015,150
2015,153
2015,157
2015,161
2015,162
2015,163
2015,165
2015,167
2015,171
2015,175
2015,176
2015,177
2015,178
2015,181
2015,182
2015,184
2015,191
2015,192
2015,194
2015,196
2015,199
2015,200
2015,201
2015,205
2015,213
2015,219
2015,220
2015,222
2015,223
2015,225
2015,226
2015,227
2015,230
2015,231
2015,235
2015,236
2015,242
2015,244
2015,246
2015,247
2015,251
2015,252
2015,254
2015,255
2015,256
2015,257
2015,261
2015,263
2015,265
2015,266
2015,269
2015,271
2015,272
2015,274
2015,276
2015,277
2016,1
2016,6
2016,10
2016,11
2016,12
2016,14
2016,17
2016,21
2016,23
2016,28
2016,29
2016,30
2016,31
2016,32
2016,33
2016,34
2016,35
2016,36
2016,39
2016,44
2016,46
2016,49
2016,50
2016,51
2016,54
2016,55
2016,59
2016,60
2016,62
2016,65
2016,66
2016,71
2016,75
2016,76
2016,81
2016,82
2016,84
2016,86
2016,87
2016,89
2016,92
2016,94
2016,96
2016,97
2016,98
2016,99
2016,100
2016,101
2016,106
2016,107
2016,108
2016,111
2016,114
2016,120
2016,121
2016,122
2016,123
2016,125
2016,126
2016,131
2016,133
2016,134
2016,136
2016,142
2016,144
2016,148
2016,152
2016,154
2016,155
2016,156
2016,157
2016,160
2016,161
2016,162
2016,163
2016,166
2016,173
2016,174
2016,178
2016,184
2016,185
2016,186
2016,188
2016,193
2016,196
2016,197
2016,199
2016,201
2016,203
2016,206
2016,209
2016,211
2016,214
2016,217
2016,219
2016,223
2016,224
2016,227
2016,228
2016,233
