"box","x","y"
1,4417156.86457,5334224.50309
2,4417194.32493,5334225.47751
3,4417238.02167,5334227.71897
4,4417280.27124,5334217.29474
5,4417312.08901,5334211.85121
6,4417358.78648,5334217.74599
7,4417402.01717,5334206.45577
8,4417445.53052,5334208.42093
9,4417486.69272,5334202.84298
10,4417529.9487,5334193.84274
11,4417575.85107,5334199.37926
12,4417610.63027,5334187.11439
13,4417656.28891,5334188.30443
14,4417698.94013,5334182.62262
15,4417742.0927,5334192.09394
16,4417788.523,5334176.41846
17,4417836.85138,5334163.31884
18,4417860.34279,5334172.09733
19,4417843.74763,5334210.99081
20,4417804.38178,5334215.13055
21,4417770.72997,5334215.58705
22,4417708.54913,5334217.16874
23,4417670.24757,5334214.51438
24,4417629.75183,5334224.88307
25,4417602.69706,5334239.79804
26,4417557.77736,5334248.02526
27,4417513.20959,5334237.74783
28,4417472.39678,5334242.01117
29,4417431.65723,5334252.5773
30,4417389.64624,5334244.30874
31,4417338.01794,5334250.74649
32,4417304.98183,5334252.16181
33,4417266.55772,5334262.16749
34,4417216.12115,5334266.70543
35,4417180.28196,5334263.79256
36,4417193.56582,5334297.5367
37,4417244.36431,5334291.68317
38,4417289.94071,5334285.62006
39,4417324.21757,5334297.91088
40,4417370.87342,5334291.12617
41,4417408.84867,5334278.55955
42,4417446.12004,5334281.63384
43,4417491.11403,5334280.40099
44,4417531.58159,5334266.88696
45,4417576.84796,5334278.79374
46,4417627.70131,5334273.91617
47,4417652.86927,5334254.32431
48,4417685.49424,5334250.34081
49,4417736.0477,5334237.68681
50,4417779.24669,5334253.55861
51,4417836.15935,5334244.76354
52,4417817.32854,5334270.96977
53,4417754.30518,5334275.81026
54,4417723.20512,5334275.21467
55,4417689.35198,5334302.55711
56,4417652.79218,5334302.48234
57,4417614.94672,5334286.53722
58,4417568.64392,5334293.17236
59,4417518.49242,5334308.788
60,4417473.8824,5334313.67312
61,4417419.13229,5334313.6786
62,4417394.199,5334313.4359
63,4417352.39668,5334299.50088
64,4417300.30873,5334326.96426
65,4417266.21717,5334320.74344
66,4417212.67189,5334316.50652
67,4417211.64728,5334370.14983
68,4417233.75453,5334340.00689
69,4417283.2882,5334354.51798
70,4417326.6679,5334353.73495
71,4417364.67813,5334352.16044
72,4417390.49738,5334350.63316
73,4417451.47639,5334338.23783
74,4417497.96322,5334346.27599
75,4417529.42136,5334376.22423
76,4417571.27458,5334360.61422
77,4417618.25499,5334357.07944
78,4417666.22438,5334337.23116
79,4417693.77835,5334321.68777
80,4417728.45228,5334310.55288
81,4417781.6955,5334305.50158
82,4417816.19874,5334306.99187
83,4417806.72626,5334334.65709
84,4417763.75595,5334333.18761
85,4417714.93449,5334355.18832
86,4417689.96446,5334365.48631
87,4417644.35165,5334375.28512
88,4417588.89894,5334382.57646
89,4417550.60749,5334399.9767
90,4417500.34292,5334386.4789
91,4417468.78747,5334366.91512
92,4417426.49126,5334373.2359
93,4417375.69604,5334379.67646
94,4417353.38658,5334373.30456
95,4417285.33636,5334377.39931
96,4417262.06476,5334382.87155
97,4417226.78156,5334375.93432
98,4417241.36606,5334425.195
99,4417281.7002,5334414.73363
100,4417324.56159,5334406.47761
101,4417361.29801,5334419.56624
102,4417408.09519,5334407.11992
103,4417448.91814,5334407.80613
104,4417469.79007,5334415.14538
105,4417512.63448,5334419.58249
106,4417580.88166,5334420.08898
107,4417622.96607,5334417.01155
108,4417674.01661,5334401.14994
109,4417713.9366,5334399.65972
110,4417753.79545,5334372.24394
111,4417785.44442,5334368.8127
112,4417791.65516,5334438.72629
113,4417752.82519,5334430.02085
114,4417721.43503,5334440.74011
115,4417683.821,5334440.11399
116,4417641.31805,5334443.09277
117,4417599.53537,5334444.77349
118,4417550.63339,5334451.39304
119,4417509.18924,5334454.00965
120,4417470.46128,5334453.49523
