"year_","ID","box","box_partner","ep"
2015,"B2V8645",269,252,1
2015,"B2V8993",28,45,1
2015,"B2X7195",182,181,1
2015,"B2X7410",100,71,1
2015,"B2X7590",252,236,1
2015,"B2X7817",31,32,1
2015,"B3Y5645",242,251,1
2015,"B3Y5673",277,269,1
2015,"B3Y5725",45,28,1
2015,"B3Y5793",112,141,1
2015,"B3Y5795",108,87,1
2015,"B3Y6556",205,182,1
2015,"B3Y6560",14,22,1
2015,"B3Y6816",7,6,1
2015,"B3Y6965",272,271,1
2015,"B4E9220",101,122,1
2015,"B4E9273",181,157,1
2015,"B4E9303",178,176,1
2015,"B4E9478",271,201,1
2015,"B4H1125",21,20,1
2015,"B4H1559",226,225,1
2016,"B2X4962",50,14,1
2016,"B2X7817",31,33,1
2016,"B2X7826",136,114,1
2016,"B4E9273",174,157,1
2016,"B4H0453",28,60,1
2016,"B4H0648",81,238,1
2016,"B4H1086",256,271,1
2016,"B4H1105",228,227,1
2016,"B4H1301",55,50,1
2016,"B4H1320",269,228,1
2016,"B4H1320",269,261,1
2016,"B4H1327",224,223,1
2016,"B4H1327",224,203,1
2016,"B4H1339",49,23,1
2016,"B4H1339",49,54,1
2016,"B4H1491",33,30,1
2016,"B4H1503",39,65,1
2016,"B4H1503",39,33,1
2016,"B4H1577",211,214,1
2016,"B4H1592",114,136,1
2016,"B4H1618",217,233,1
2016,"B4H1702",251,239,1
2016,"B4H1828",84,81,1
2016,"B4H1828",84,82,1
2016,"B4H1928",234,214,1
2016,"B4H1928",234,238,1
2017,"B2X4962",21,50,1
2017,"B2X7548",225,247,1
2017,"B2X7817",31,38,1
2017,"B2X7817",31,4,1
2017,"B3Y6864",14,54,1
2017,"B4E9220",101,125,1
2017,"B4H0064",259,198,1
2017,"B4H0075",137,141,1
2017,"B4H0223",174,181,1
2017,"B4H0376",111,55,1
2017,"B4H0402",162,143,1
2017,"B4H0606",260,237,1
2017,"B4H0784",125,98,1
2017,"B4H0784",125,95,1
2017,"B4H1001",214,239,1
2017,"B4H1045",77,76,1
2017,"B4H1064",110,111,1
2017,"B4H1181",247,225,1
2017,"B4H1320",262,261,1
2017,"B4H1320",262,260,1
2017,"B4H1320",262,248,1
2017,"B4H1327",224,225,1
2017,"B4H1491",4,31,1
2017,"B4H1577",212,190,1
2017,"B4H1592",113,137,1
2017,"B4H1592",113,142,1
2017,"B4H1592",113,139,1
2017,"B4H1640",151,153,1
2017,"B4H1675",38,64,1
2017,"B4H1675",38,31,1
2017,"B4H1828",81,113,1
2017,"B4H1927",271,258,1
2017,"B4H1927",271,273,1
2017,"B4H1928",235,188,1
2017,"B4H1928",235,214,1
2017,"B4P8092",36,64,1
2017,"B4P8227",126,201,1
2017,"B4P8752",55,53,1
2018,"B2X7548",225,247,1
2018,"B2X7548",225,224,1
2018,"B2X7900",178,201,1
2018,"B2X7900",178,154,1
2018,"B4E9258",123,152,1
2018,"B4E9273",198,201,1
2018,"B4H0075",113,77,1
2018,"B4H0075",113,137,1
2018,"B4H0158",183,196,1
2018,"B4H0158",183,44,1
2018,"B4H0183",55,46,1
2018,"B4H0199",51,21,1
2018,"B4H0502",46,44,1
2018,"B4H0505",269,228,1
2018,"B4H0514",261,269,1
2018,"B4H0514",261,271,1
2018,"B4H0518",226,225,1
2018,"B4H0587",119,130,1
2018,"B4H0597",196,199,1
2018,"B4H0867",252,230,1
2018,"B4H1064",111,49,1
2018,"B4H1339",49,73,1
2018,"B4H1675",37,99,1
2018,"B4H1675",37,100,1
2018,"B4H1702",250,228,1
2018,"B4H1927",254,253,1
2018,"B4H1960",157,130,1
2018,"B4P8011",207,241,1
2018,"B4P8092",68,99,1
2018,"B4P8215",136,115,1
2018,"B4P8224",253,252,1
2018,"B4P8243",2,35,1
2018,"B4P8261",271,270,1
2018,"B4P8531",206,174,1
2018,"B4P8570",244,221,1
2018,"B4P8576",71,100,1
2018,"B4P8908",229,228,1
2018,"B4P8908",229,207,1
2018,"B4P9136",262,229,1
2018,"B4P9462",85,163,1
2019,"B4E9258",124,125,1
2019,"B4E9258",124,100,1
2019,"B4H0158",172,158,1
2019,"B4H0223",179,201,1
2019,"B4H0229",21,54,1
2019,"B4H0364",90,89,1
2019,"B4H0453",28,61,1
2019,"B4H0514",261,219,1
2019,"B4H1504",202,223,1
2019,"B4H1675",38,68,1
2019,"B4H1776",24,23,1
2019,"B4P8011",219,228,1
2019,"B4P8158",162,136,1
2019,"B4P8196",77,88,1
2019,"B4P8252",137,165,1
2019,"B4P8818",233,268,1
2019,"B4P9249",80,54,1
2019,"B4P9342",238,251,1
2019,"B4P9392",9,28,1
2019,"B4P9491",228,229,1
2019,"B4P9695",189,184,1
2019,"B4P9721",111,108,1
2019,"B4P9721",111,77,1
2019,"B4P9721",111,56,1
2019,"B4P9773",267,268,1
2019,"B4P9933",109,136,1
2019,"B4X1218",112,136,1
2019,"B4X1327",30,7,1
2019,"B4X1416",23,87,1
2019,"B4X1579",187,167,1
2019,"B4X1785",41,40,1
2019,"B4X1850",15,80,1
2020,"B4E9220",92,100,1
2020,"B4H0078",134,142,1
2020,"B4H0518",226,197,1
2020,"B4H1828",81,22,1
2020,"B4H1828",81,51,1
2020,"B4H1927",237,259,1
2020,"B4P8017",127,150,1
2020,"B4P8420",197,175,1
2020,"B4P8485",256,230,1
2020,"B4P8576",61,41,1
2020,"B4P9080",167,214,1
2020,"B4P9080",167,83,1
2020,"B4P9170",27,26,1
2020,"B4P9239",273,256,1
2020,"B4P9304",1,37,1
2020,"B4P9643",188,191,1
2020,"B4P9809",25,256,1
2020,"B4P9926",191,165,1
2020,"B4P9965",28,29,1
2020,"B4X1151",262,268,1
2020,"B4X1151",262,243,1
2020,"B4X1213",248,247,1
2020,"B4X1401",142,134,1
2020,"B4X1401",142,140,1
2020,"B4X1408",251,145,1
2020,"B4X1443",171,170,1
2020,"B4X1456",265,246,1
2020,"B4X1585",245,224,1
2020,"B4X1608",180,200,1
2020,"B4X1608",180,175,1
2020,"B4X1708",243,226,1
2020,"B4X1800",152,99,1
2020,"B4X1839",22,21,1
2020,"B4X1850",18,111,1
2020,"B4X1850",18,17,1
2020,"B4X1892",241,250,1
2020,"B4X8296",112,113,1
2020,"B4X8524",235,213,1
2015,"B2V8824",252,269,1
2015,"B4H1350",45,28,1
2015,"B2X7415",181,182,1
2015,"B4H1712",71,100,1
2015,"B3Y5683",236,252,1
2015,"B2X7085",32,31,1
2015,"B4E9267",251,242,1
2015,"B4E9471",269,277,1
2015,"B2X4960",28,45,1
2015,"B3Y5762",141,112,1
2015,"B4H1645",87,108,1
2015,"B3Y5686",182,205,1
2015,"B3Y5797",22,14,1
2015,"B4E9216",6,7,1
2015,"B4H1299",271,272,1
2015,"B2V8973",122,101,1
2015,"B4H1717",157,181,1
2015,"B4E9205",176,178,1
2015,"B4E9233",201,271,1
2015,"B3Y5730",20,21,1
2015,"B4H1606",225,226,1
2016,"B3Y5639",14,50,1
2016,"B3Y5763",33,31,1
2016,"B4H1785",114,136,1
2016,"B4H1267",157,174,1
2016,"B4H1350",60,28,1
2016,"B4H0117",238,81,1
2016,"B4H0979",271,256,1
2016,"B3Y5776",227,228,1
2016,"B3Y5797",50,55,1
2016,"B3Y5783",228,269,1
2016,"B4H0408",261,269,1
2016,"B4E9245",223,224,1
2016,"B4E9428",203,224,1
2016,"B4E9421",23,49,1
2016,"B4H0165",54,49,1
2016,"B4H0471",30,33,1
2016,"B2X7542",65,39,1
2016,"B3Y5763",33,39,1
2016,"B3Y5802",214,211,1
2016,"B4H0899",136,114,1
2016,"B4H1766",233,217,1
2016,"B4E9267",239,251,1
2016,"B4H0132",81,84,1
2016,"B4H0195",82,84,1
2016,"B3Y5802",214,234,1
2016,"B4H0117",238,234,1
2017,"B4H0097",50,21,1
2017,"B4P8231",247,225,1
2017,"B2X7542",38,31,1
2017,"B4P8022",4,31,1
2017,"B4E9435",54,14,1
2017,"B4H0946",125,101,1
2017,"B4H1736",198,259,1
2017,"B4P8145",141,137,1
2017,"B4H0365",181,174,1
2017,"B4H0073",55,111,1
2017,"B4E9277",143,162,1
2017,"B4P8902",237,260,1
2017,"B4H0150",98,125,1
2017,"B4H0298",95,125,1
2017,"B4H0182",239,214,1
2017,"B4H0389",76,77,1
2017,"B4P8256",111,110,1
2017,"B4P8177",225,247,1
2017,"B4H0486",261,262,1
2017,"B4P8024",260,262,1
2017,"B4P8247",248,262,1
2017,"B4P8177",225,224,1
2017,"B4H1625",31,4,1
2017,"B3Y5802",190,212,1
2017,"B4H0899",137,113,1
2017,"B4H1712",142,113,1
2017,"B4P8286",139,113,1
2017,"B4H0377",153,151,1
2017,"B4H0805",64,38,1
2017,"B4H1625",31,38,1
2017,"B4H1785",113,81,1
2017,"B4E9267",258,271,1
2017,"B4P8750",273,271,1
2017,"B4P8336",188,235,1
2017,"B4P8516",214,235,1
2017,"B4H0805",64,36,1
2017,"B4H0136",201,126,1
2017,"B4P8766",53,55,1
2018,"B4P9464",247,225,1
2018,"B4P9513",224,225,1
2018,"B4H0136",201,178,1
2018,"B4P8147",154,178,1
2018,"B4H1878",152,123,1
2018,"B4H0136",201,198,1
2018,"B4H0389",77,113,1
2018,"B4P8145",137,113,1
2018,"B4P8229",196,183,1
2018,"B4P9096",44,183,1
2018,"B4P9402",46,55,1
2018,"B4P9062",21,51,1
2018,"B4P9096",44,46,1
2018,"B3Y5783",228,269,1
2018,"B4H0857",269,261,1
2018,"B4P8750",271,261,1
2018,"B4P9056",225,226,1
2018,"B4H0095",130,119,1
2018,"B4P9140",199,196,1
2018,"B4P9596",230,252,1
2018,"B4P8766",49,111,1
2018,"B4H0051",73,49,1
2018,"B3Y5763",99,37,1
2018,"B4P9012",100,37,1
2018,"B3Y5783",228,250,1
2018,"B4H0380",253,254,1
2018,"B4H0095",130,157,1
2018,"B4P9196",241,207,1
2018,"B3Y5763",99,68,1
2018,"B4P8109",115,136,1
