"year_","box","lin"
2015,211,75
2015,122,82
2015,41,82
2015,196,82
2015,151,82
2015,236,82
2015,120,87
2015,113,87
2015,252,87
2015,181,96
2015,121,96
2015,200,96
2015,163,96
2015,161,96
2015,150,96
2015,277,96
2015,257,96
2015,261,96
2015,230,96
2015,235,96
2015,219,96
2015,255,96
2015,251,96
2015,31,96
2015,30,96
2015,194,99
2015,182,100
2015,178,100
2015,167,100
2015,142,100
2015,20,100
2015,23,100
2015,34,100
2015,42,100
2015,87,100
2015,97,100
2015,98,100
2015,263,100
2015,269,100
2015,271,100
2015,273,100
2015,272,100
2015,256,100
2015,244,100
2015,242,100
2015,225,100
2015,14,100
2015,9,100
2015,64,100
2015,82,100
2015,78,100
2015,220,100
2015,201,100
2015,18,103
2015,12,103
2015,7,103
2015,77,103
2015,71,103
2015,19,103
2015,22,103
2015,36,103
2015,45,103
2015,47,103
2015,86,103
2015,88,103
2015,96,103
2015,191,103
2015,162,103
2015,138,103
2015,133,103
2015,127,103
2015,126,103
2015,125,103
2015,116,103
2015,222,103
2015,177,103
2015,176,103
2015,141,103
2015,149,103
2015,100,103
2015,103,103
2015,108,103
2015,110,103
2015,262,103
2015,247,103
2015,246,103
2015,231,103
2015,10,110
2015,40,110
2015,99,110
2015,101,110
2015,67,110
2015,32,110
2015,62,110
2015,54,110
2015,85,110
2015,90,110
2015,204,110
2015,205,110
2015,184,110
2015,139,110
2015,217,110
2015,199,110
2015,157,110
2015,266,110
2015,276,110
2015,254,110
2015,226,110
2015,227,110
2015,115,113
2015,35,113
2015,65,113
2015,69,113
2015,112,113
2015,148,113
2015,239,117
2015,165,124
2015,114,124
2015,171,124
2015,74,131
2015,146,131
2015,109,131
2015,265,131
2015,154,146
2016,11,83
2016,65,89
2016,117,83
2016,122,89
2016,31,89
2016,23,89
2016,49,83
2016,100,89
2016,160,89
2016,173,89
2016,216,89
2016,215,89
2016,211,83
2016,209,89
2016,203,89
2016,267,89
2016,236,83
2016,238,89
2016,239,89
2016,241,89
2016,10,96
2016,18,96
2016,52,96
2016,60,96
2016,62,96
2016,71,96
2016,75,96
2016,76,96
2016,114,96
2016,120,96
2016,121,96
2016,123,96
2016,35,96
2016,34,96
2016,33,96
2016,32,96
2016,30,96
2016,29,96
2016,28,96
2016,21,96
2016,51,96
2016,46,96
2016,39,96
2016,96,96
2016,92,96
2016,87,96
2016,86,96
2016,84,96
2016,111,96
