"ID","sex"
"B1V5587",2
"B1V5572",1
"X01000407",2
"X02000407",2
"X03000407",2
"B2F5374",1
"B2F5375",1
"B2F5376",1
"B2F5377",2
"B2F5378",1
"B2F5379",1
"B2F5380",1
"B2F5381",2
"B1V5534",1
"B2F5419",1
"B2F5420",2
"B2F5421",2
"B2F5422",2
"B2F5423",2
"B2F5424",2
"B2F5425",2
"B2F5426",1
"B2F5427",2
"B2F5428",1
"B2F5429",1
"B2F5430",2
"B1V5398",1
"B1V5385",2
"B2V8256",2
"B2V8257",2
"B2V8258",1
"B2V8259",2
"B2V8260",2
"B2V8261",2
"B2V8262",2
"B2V8263",1
"B2V8264",1
"B1V5533",1
"B2F5301",2
"B2F5302",2
"B2F5303",2
"B2F5304",1
"B2F5305",1
"B2F5306",2
"B2F5307",2
"B2F5308",2
"B2F5309",2
"B2F5310",1
"B1V5536",1
"B1V5540",2
"X01001807",1
"X02001807",1
"B2F5401",2
"B2F5402",1
"B2F5403",2
"B2F5404",2
"B2F5405",2
"B2F5406",1
"B2F5407",2
"B2F5408",1
"B1P5986",2
"B1P5982",1
"B2F5541",2
"B2F5542",1
"B2F5543",1
"B2F5544",1
"B2F5545",2
"B2F5546",1
"B2F5547",2
"B2F5548",2
"B2F5549",1
"B1V5482",2
"B1V5384",1
"B2V8350",2
"B2V8351",2
"B2V8352",1
"B2V8353",2
"B2V8354",1
"B2V8355",2
"B2V8356",1
"B2V8357",1
"B2V8358",1
"B2V8359",2
"B2V8360",2
"B1V5382",2
"B1V5598",1
"X01003107",1
"X02003107",1
"X03003107",2
"X04003107",1
"X05003107",1
"X06003107",1
"X07003107",1
"X08003107",2
"X09003107",1
"X10003107",2
"X11003107",1
"B1V5567",2
"B1V5478",1
"X01003407",1
"B2F5382",2
"B2F5383",2
"B2F5384",1
"B2F5385",2
"B2F5386",1
"B2F5387",1
"B2F5388",2
"B2F5389",2
"B2F5390",1
"B2F5391",2
"B2F5393",1
"B1V5539",1
"B1V5593",2
"X01003507",1
"B2F5670",2
"B2F5671",1
"B2F5672",2
"B2F5673",2
"B2F5674",1
"B2F5675",2
"B2F5676",1
"B2F5677",2
"B2F5678",2
"B2F5679",1
"B1V5380",2
"B1V5474",1
"X01003607",1
"X02003607",1
"B2V8248",1
"B2V8249",1
"B2V8250",1
"B2V8251",2
"B2V8252",2
"B2V8253",2
"B2V8254",1
"B2V8255",1
"B1V5475",2
"B1V5379",1
"X01003807",2
"X02003807",1
"X03003807",1
"X04003807",2
"X05003807",1
"X06003807",1
"X07003807",1
"X08003807",2
"X09003807",2
"X10003807",2
"X11003807",1
"X12003807",1
"B1V5490",2
"B1V5493",1
"B2V8288",1
"B2V8289",2
"B2V8290",2
"B2V8291",1
"B2V8292",1
"B2V8293",2
"B2V8294",2
"B2V8295",2
"B2V8296",2
"B2V8297",1
"B2V8298",2
"B2V8299",1
"B1V5542",2
"B1V5535",1
"X02004807",2
"B2F5409",1
"B2F5410",2
"B2F5411",2
"B2F5412",1
"B2F5413",1
"B2F5414",1
"B2F5415",1
"B2F5416",2
"B2F5417",2
"B2F5418",2
"B1V5578",1
"X01005207",1
"X02005207",2
"B2F5501",2
"B2F5502",2
"B2F5503",1
"B2F5504",1
"B2F5505",1
"B2F5506",2
"B2F5507",2
"B2F5508",2
"B2F5509",2
"B1V5472",2
"B1V5375",1
"B2V8144",2
"B2V8145",2
"B2V8146",1
"B2V8147",2
"B2V8148",1
"B2V8149",1
"B2V8150",2
"B2V8151",1
"B2V8152",1
"B2V8153",1
"B1V5399",1
"B1V5483",2
"B2V8398",2
"B2V8399",1
"B2V8400",1
"B2V8409",1
"B2V8410",2
"B2V8411",2
"B2V8412",2
"B2V8413",1
"B2V8414",2
"B2V8415",2
"B1V5371",1
