"ID","transponder","sex"
"B1P5970","86E341F9C66F0001",2
"B1P5971","384341F9C66F0001",2
"B1P5971","65C741F9C66F0001",2
"B1P5972","AB0341F9C66F0001",1
"B1P5972","7BC741F9C66F0001",1
"B1P5973","421341F9C66F0001",1
"B1P5974","9B2341F9C66F0001",1
"B1P5975","F21341F9C66F0001",1
"B1P5975","CDC741F9C66F0001",1
"B1P5976","47E341F9C66F0001",1
"B1P5976","B02741F9C66F0001",1
"B1P5977","0CE741F9C66F0001",2
"B1P5977","7FC741F9C66F0001",2
"B1P5978","98E741F9C66F0001",2
"B1P5979","9F6741F9C66F0001",2
"B1P5980","FF6741F9C66F0001",2
"B1P5981","C4E741F9C66F0001",2
"B1P5981","A9C741F9C66F0001",2
"B1P5982","08E741F9C66F0001",1
"B1P5982","B42741F9C66F0001",1
"B1P5983","84E741F9C66F0001",2
"B1P5983","642741F9C66F0001",2
"B1P5984","F2E741F9C66F0001",1
"B1P5984","13C741F9C66F0001",1
"B1P5985","3F6741F9C66F0001",2
"B1P5985","33C741F9C66F0001",2
"B1P5986","8F6741F9C66F0001",2
"B1P5986","E7C741F9C66F0001",2
"B1P5987","776741F9C66F0001",2
"B1P5988","60E741F9C66F0001",2
"B1P5989","68E741F9C66F0001",1
"B1P5989","17C741F9C66F0001",1
"B1P5990","B4E741F9C66F0001",2
"B1P5990","002741F9C66F0001",2
"B1P5991","5CE741F9C66F0001",2
"B1P5992","5F6741F9C66F0001",2
"B1P5992","89C741F9C66F0001",2
"B1P5993","00E741F9C66F0001",2
"B1P5993","39C741F9C66F0001",2
"B1V5051","0DC741F9C66F0001",2
"B1V5051","B2E741F9C66F0001",2
"B1V5052","A5C741F9C66F0001",1
"B1V5052","A2E741F9C66F0001",1
"B1V5069","9A9DC4B43A6F0001",1
"B1V5072","4EB9C4B43A6F0001",1
"B1V5078","B9D524B43A6F0001",1
"B1V5080","7B77C4B43A6F0001",2
"B1V5098","176CE7D001AF0001",2
"B1V5369","47C741F9C66F0001",1
"B1V5370","FFC741F9C66F0001",1
"B1V5371","5BC741F9C66F0001",1
"B1V5372","8EC741F9C66F0001",2
"B1V5372","E46741F9C66F0001",2
"B1V5374","F5C741F9C66F0001",2
"B1V5375","D42741F9C66F0001",1
"B1V5376","1FC741F9C66F0001",2
"B1V5377","41C741F9C66F0001",1
"B1V5378","382741F9C66F0001",1
"B1V5379","B5C741F9C66F0001",1
"B1V5380","A42741F9C66F0001",2
"B1V5381","B9C741F9C66F0001",2
"B1V5382","59C741F9C66F0001",2
"B1V5383","5EC741F9C66F0001",2
"B1V5384","182741F9C66F0001",1
"B1V5385","EFC741F9C66F0001",2
"B1V5386","C02741F9C66F0001",2
"B1V5387","EBC741F9C66F0001",1
"B1V5388","D96741F9C66F0001",2
"B1V5389","3B6741F9C66F0001",2
"B1V5390","73C741F9C66F0001",1
"B1V5391","EB6741F9C66F0001",1
"B1V5391","442741F9C66F0001",1
"B1V5392","7D6741F9C66F0001",1
"B1V5393","2BC741F9C66F0001",2
"B1V5394","176741F9C66F0001",2
"B1V5395","682741F9C66F0001",2
"B1V5396","3BC741F9C66F0001",2
"B1V5397","876741F9C66F0001",2
"B1V5398","F7C741F9C66F0001",1
"B1V5399","C82741F9C66F0001",1
"B1V5400","902741F9C66F0001",1
"B1V5464","2CE741F9C66F0001",2
"B1V5464","296741F9C66F0001",2
"B1V5465","9CE741F9C66F0001",2
"B1V5465","D9C741F9C66F0001",2
"B1V5466","74E741F9C66F0001",2
"B1V5466","842741F9C66F0001",2
"B1V5467","72E741F9C66F0001",2
"B1V5467","51C741F9C66F0001",2
"B1V5468","2FC741F9C66F0001",1
"B1V5469","CBC741F9C66F0001",2
"B1V5470","C7C741F9C66F0001",1
"B1V5471","E02741F9C66F0001",2
"B1V5472","082741F9C66F0001",2
"B1V5473","6BC741F9C66F0001",1
"B1V5474","202741F9C66F0001",1
"B1V5474","946741F9C66F0001",1
"B1V5475","A36741F9C66F0001",2
"B1V5476","31C741F9C66F0001",1
"B1V5477","B3C741F9C66F0001",1
"B1V5478","29C741F9C66F0001",1
"B1V5479","D7C741F9C66F0001",2
"B1V5480","3EC741F9C66F0001",2
"B1V5481","7DC741F9C66F0001",NA
"B1V5482","35C741F9C66F0001",2
"B1V5483","09C741F9C66F0001",2
"B1V5484","E3C741F9C66F0001",2
"B1V5485","A1C741F9C66F0001",2
"B1V5486","9DC741F9C66F0001",1
"B1V5487","19C741F9C66F0001",2
"B1V5488","2EC741F9C66F0001",1
"B1V5489","782741F9C66F0001",1
"B1V5490","9BC741F9C66F0001",2
"B1V5491","07C741F9C66F0001",1
"B1V5492","85C741F9C66F0001",2
"B1V5493","0C2741F9C66F0001",1
"B1V5494","636741F9C66F0001",2
"B1V5495","ABC741F9C66F0001",1
"B1V5496","FEC741F9C66F0001",1
"B1V5497","DC6741F9C66F0001",NA
"B1V5498","142741F9C66F0001",2
"B1V5499","F1C741F9C66F0001",2
"B1V5500","E42741F9C66F0001",2
